"Player","Source_Team","CAP","Pos","PTS","plusminus","Age","P_Upside","GP"
"David Perron","St. Louis Blues",3750000,"LW",46,-2,28,0.678787878787879,82
"David Schlemko","San Jose Sharks",2100000,"D",18,4,29,0.922680412371134,62
"Dennis Seidenberg","New York Islanders",1250000,"D",22,25,35,0.513812154696133,73
"Derek Dorsett","Vancouver Canucks",2650000,"RW",4,-6,30,0.955,14
"Derek MacKenzie","Florida Panthers",1375000,"C",16,-7,35,0.453125,82
"Derrick Pouliot","Pittsburgh Penguins",8e+05,"D",0,-4,23,0.322981366459627,11
"Devante Smith-Pelly","New Jersey Devils",1300000,"RW",9,-19,24,0.368715083798883,53
"Dmitrij Jaskin","St. Louis Blues",1e+06,"RW",11,5,23,0.238095238095238,51
"Dustin Brown","Los Angeles Kings",5875000,"RW",36,-4,32,0.612021857923497,80
"Emerson Etem","Anaheim Ducks",2112642.72596154,"LW",0,1,24,0.977272727272727,3
"Eric Fehr","Toronto Maple Leafs",2e+06,"C",11,2,31,0.307317073170732,53
"Eric Gelinas","Colorado Avalanche",2112642.72596154,"D",1,-4,25,0.953488372093023,27
"Eric Staal","Minnesota Wild",3500000,"C",65,17,32,0.447674418604651,82
"Erik Condra","Tampa Bay Lightning",1250000,"RW",0,-4,30,0.670588235294118,13
"Erik Haula","Minnesota Wild",2750000,"C",26,5,25,0.207070707070707,72
"Erik Karlsson","Carolina Hurricanes",6500000,"D",71,10,26,0.398009950248756,77
"Frank Corrado","Pittsburgh Penguins",650000,"D",0,-1,23,0.873493975903614,4
"Freddie Hamilton","Calgary Flames",612500,"C",2,-3,25,0.382022471910112,26
"Greg Pateryn","Dallas Stars",8e+05,"D",9,-1,26,0.956521739130435,36
"Ian Cole","Pittsburgh Penguins",2100000,"D",26,26,27,0.377551020408163,81
"Iiro Pakarinen","Edmonton Oilers",725000,"RW",4,2,25,0.964705882352941,14
"J.T. Brown","Tampa Bay Lightning",1250000,"RW",6,-7,26,0.273255813953488,64
"Jack Johnson","Columbus Blue Jackets",4357143,"D",23,23,30,0.747474747474748,82
"Jacob Josefson","New Jersey Devils",7e+05,"C",10,-1,25,0.867052023121387,38
"James Neal","Nashville Predators",5e+06,"RW",41,-10,29,0.405714285714286,70
"Jamie McGinn","Arizona Coyotes",3333333,"LW",17,-23,28,0.680851063829787,72
"Jamie Oleksiak","Dallas Stars",964688,"D",7,-4,24,0.81151832460733,41
"Jared Boll","Anaheim Ducks",9e+05,"RW",3,-3,30,0.570652173913043,51
"Jason Chimera","New York Islanders",2250000,"LW",33,1,37,0.297872340425532,82
"Jason Demers","Florida Panthers",4500000,"D",28,-14,28,0.182291666666667,81
"Jason Garrison","Tampa Bay Lightning",4600000,"D",9,-8,32,0.648809523809524,70
"Jay Beagle","Washington Capitals",1750000,"RW",30,20,31,0.329842931937173,81
"Jayson Megna","Vancouver Canucks",675000,"C",8,-4,26,0.65359477124183,58
"Jesper Fast","New York Rangers",1850000,"RW",21,6,25,0.12972972972973,68
"Jimmy Hayes","Boston Bruins",2300000,"RW",5,-3,27,0.923913043478261,58
"Joakim Nordstrom","Carolina Hurricanes",1275000,"LW",12,-12,24,0.402173913043478,82
"Joe Colborne","Colorado Avalanche",2500000,"C",8,-21,27,0.571428571428571,62
"Joel Ward","San Jose Sharks",3275000,"RW",29,-2,36,0.704663212435233,78
"Jonathan Ericsson","Detroit Red Wings",4250000,"D",9,-2,32,0.39766081871345,51
